Borough,Precinct,Adress
Manhattan,1st Precinct,16 Ericsson Place
Manhattan,5th Precinct,19 Elizabeth Street
Manhattan,6th Precinct,233 West 10 Street
Manhattan,7th Precinct,19 1/2 Pitt Street
Manhattan,9th Precinct,321 East 5 Street
Manhattan,10th Precinct,230 West 20th Street
Manhattan,13th Precinct,230 East 21st Street
Manhattan,Midtown South Precinct,357 West 35th Street
Manhattan,17th Precinct,167 East 51st Street
Manhattan,Midtown North Precinct,306 West 54th Street
Manhattan,19th Precinct,153 East 67th Street
Manhattan,20th Precinct,120 West 82nd Street
Manhattan,Central Park Precinct,86th St & Transverse Road
Manhattan,23rd Precinct,164 East 102nd Street
Manhattan,24th Precinct,151 West 100th Street
Manhattan,25th Precinct,120 East 119th Street
Manhattan,26th Precinct,520 West 126th Street
Manhattan,28th Precinct,2271-89 8th Avenue
Manhattan,30th Precinct,451 West 151st Street
Manhattan,32nd Precinct,250 West 135th Street
Manhattan,33rd Precinct,2207 Amsterdam Avenue
Manhattan,34th Precinct,4295 Broadway
Bronx,40th Precinct,257 Alexander Avenue
Bronx,41st Precinct,1035 Longwood Avenue
Bronx,42nd Precinct,830 Washington Avenue
Bronx,43rd Precinct,900 Fteley Avenue
Bronx,44th Precinct,2 East 169th Street
Bronx,45th Precinct,2877 Barkley Avenue
Bronx,46th Precinct,2120 Ryer Avenue
Bronx,47th Precinct,4111 Laconia Avenue
Bronx,48th Precinct,450 Cross Bronx Expressway
Bronx,49th Precinct,2121 Eastchester Road
Bronx,50th Precinct,3450 Kingsbridge Avenue
Bronx,52nd Precinct,3016 Webster Avenue
Brooklyn,60th Precinct,2951 West 8th Street
Brooklyn,61st Precinct,2575 Coney Island Avenue
Brooklyn,62nd Precinct,1925 Bath Avenue
Brooklyn,63rd Precinct,1844 Brooklyn Avenue
Brooklyn,66th Precinct,5822 16th Avenue
Brooklyn,67th Precinct,2820 Snyder Avenue
Brooklyn,68th Precinct,333 65th Street
Brooklyn,69th Precinct,9720 Foster Avenue
Brooklyn,70th Precinct,154 Lawrence Avenue
Brooklyn,71st Precinct,421 Empire Boulevard
Brooklyn,72nd Precinct,830 4th Avenue
Brooklyn,73rd Precinct,1470 East New York Avenue
Brooklyn,75th Precinct,1000 Sutter Avenue
Brooklyn,76th Precinct,191 Union Street
Brooklyn,77th Precinct,127 Utica Avenue
Brooklyn,78th Precinct,65 6th Avenue
Brooklyn,79th Precinct,263 Tompkins Avenue
Brooklyn,81st Precinct,30 Ralph Avenue
Brooklyn,83rd Precinct,480 Knickerbocker Avenue
Brooklyn,84th Precinct,301 Gold Street
Brooklyn,88th Precinct,298 Classon Avenue
Brooklyn,90th Precinct,211 Union Avenue
Brooklyn,94th Precinct,100 Meserole Avenue
Queens,100th Precinct,92-24 Rockaway Beach Boulevard
Queens,101st Precinct,16-12 Mott Avenue
Queens,102nd Precinct,87-34 118th Street
Queens,103rd Precinct,168-02 P.O Edward Byrne Ave.
Queens,104th Precinct,64-2 Catalpa Avenue
Queens,105th Precinct,92-08 222nd Street
Queens,106th Precinct,103-53 101st Street
Queens,107th Precinct,71-01 Parsons Boulevard
Queens,108th Precinct,5-47 50th Avenue
Queens,109th Precinct,37-05 Union Street
Queens,110th Precinct,94-41 43rd Avenue
Queens,111th Precinct,45-06 215th Street
Queens,112th Precinct,68-40 Austin Street
Queens,113th Precinct,167-02 Baisley Boulevard
Queens,114th Precinct,34-16 Astoria Boulevard
Queens,115th Precinct,92-15 Northern Boulevard
Staten Island,120th Precinct,78 Richmond Terrace
Staten Island,121st Precinct,970 Richmond Avenue
Staten Island,122nd Precinct,2320 Hylan Boulevard
Staten Island,123rd Precinct,116 Main Street